date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:11:30	633/633	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Mar%202025%2006:26:30%20GMT	http://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.fab670a768e8b7c0.js?v=67440185023650091361741914969	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.fab670a768e8b7c01f83.js	(from https://www.jbhifi.com.au/)
12:11:30	391235/391235	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2014%20Mar%202025%2002:05:17%20GMT	https://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.b45ba83cf67dc167.js?v=8939775604271824091741914974	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.b45ba83cf67dc1677ecf.js	(from https://www.jbhifi.com.au/)
12:11:30	10985/10985	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2014%20Mar%202025%2002:05:16%20GMT	https://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.fab670a768e8b7c0.js?v=67440185023650091361741914969	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.fab670a768e8b7c01f83.js	(from https://www.jbhifi.com.au/)
12:11:31	633/633	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Mar%202025%2006:26:31%20GMT	http://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.e74a66f9c7757d94.js?v=171163454419611108241741914906	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.e74a66f9c7757d94b27f.js	(from https://www.jbhifi.com.au/)
12:11:32	11857/11857	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2014%20Mar%202025%2002:05:16%20GMT	https://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.e74a66f9c7757d94.js?v=171163454419611108241741914906	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.e74a66f9c7757d94b27f.js	(from https://www.jbhifi.com.au/)
12:11:32	633/633	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Mar%202025%2006:26:32%20GMT	http://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.c8f26750558c2fdf.js?v=97264734189252356251742189709	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.c8f26750558c2fdf7544.js	(from https://www.jbhifi.com.au/)
12:11:32	157173/157173	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2017%20Mar%202025%2005:35:36%20GMT	https://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.c8f26750558c2fdf.js?v=97264734189252356251742189709	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.c8f26750558c2fdf7544.js	(from https://www.jbhifi.com.au/)
12:11:33	633/633	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Mar%202025%2006:26:32%20GMT	http://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.29897ac8cba7d76f.js?v=103970677441452782581741914713	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.29897ac8cba7d76ff0db.js	(from https://www.jbhifi.com.au/)
12:11:34	108367/108367	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2014%20Mar%202025%2002:05:16%20GMT	https://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.29897ac8cba7d76f.js?v=103970677441452782581741914713	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.29897ac8cba7d76ff0db.js	(from https://www.jbhifi.com.au/)
12:11:34	633/633	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Mar%202025%2006:26:34%20GMT	http://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.a7c41a2b0297d2e3.js?v=16572138429829711861741914674	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.a7c41a2b0297d2e3a531.js	(from https://www.jbhifi.com.au/)
